,Name,Title,Typename,XYZ URL,Max Z
36,sixinch_insets,"OS Six Inch, 1888-1913 - Shiant, Sula Skeir, etc.",,,16
37,sixinch2scot_loch_resort,"Scotland - OS Six Inch, 1888-1913 - Shetland corrections",,,16
38,sixinch2scot_shiant,"Scotland - OS Six Inch, 1888-1913 - Shiant correction",,,16
39,sixinch2scot_arran_sw,"Scotland - OS Six Inch, 1888-1913 - Arran SW correction",,,17
40,sixinch2scot_stroma,"Scotland - OS Six Inch, 1888-1913 - Stroma correction",,,17
41,oneinchseventh,"Great Britain / Ireland - OS One Inch 7th series, 1955-61",nls:catalog_one_inch_7th_series,,17
42,bartholomew_half_1919,"England and Wales - Bartholomew half-inch, 1919-26",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/bartholomew_england_wales_1920s/{z}/{x}/{y}.png,15
43,bartgreatbritain,"Great Britain / Ireland - Bartholomew Half Inch, 1897-1907",nls:bart_half_combined_1900s_WFS,https://mapseries-tilesets.s3.amazonaws.com/bartholomew_great_britain/{z}/{x}/{y}.png,15
44,bartgreatbritain1940s,"Great Britain / Ireland - Bartholomew Half Inch, 1940-1947",nls:bart_half_combined_1940s_WFS,https://mapseries-tilesets.s3.amazonaws.com/bartholomew/great_britain_1940s/{z}/{x}/{y}.png,14
45,bartsurveyatlas,"Scotland - Bartholomew Survey Atlas, 1912",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/bartholomew_survey_atlas/{z}/{x}/{-y}.png,15
46,barthalfinch,"Scotland - Bartholomew Half-Inch, 1926-1935",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/bartholomew/half/{z}/{x}/{-y}.png,15
47,twentyfivethousand,"Great Britain / Ireland - OS 1:25,000, 1937-61",nls:OS_1_25K_Provisional_WFS,,16
48,twentyfivethousandoutline,"Great Britain / Ireland - OS 1:25,000 (Outline), 1945-65",nls:OS_1_25K_Outline_WFS,https://mapseries-tilesets.s3.amazonaws.com/os/25000_outline/{z}/{x}/{y}.png,16
49,twentyfivethousandscot,"Scotland - OS 1:25,000, 1937-61",nls:OS_1_25K_Provisional_WFS,,16
50,gsgs3906,"Scotland - GSGS 3906, 1941",nls:GSGS_3906_WFS,https://mapseries-tilesets.s3.amazonaws.com/gsgs3906/{z}/{x}/{y}.png,16
51,twentyfivethousandengwal,"England and Wales - OS 1:25,000, 1937-61",nls:OS_1_25K_Provisional_WFS,,16
52,airphotosScotland,"Great Britain / Ireland - OS Air Photos, 1:10,560 1944-1950",nls:catalog_air_photos_10560_WFS,https://mapseries-tilesets.s3.amazonaws.com/air-photo/{z}/{x}/{y}.png,17
53,airphotosEngland,"Great Britain / Ireland - OS Air Photos, 1:10,560 1944-1950",nls:catalog_air_photos_10560_WFS,https://mapseries-tilesets.s3.amazonaws.com/air-photos-10560/{z}/{x}/{y}.png,
54,airphotos1250layer,"Great Britain / Ireland - OS 1:1,250 Air Photos, 1944-1950 - tileset",nls:catalog_air_photos_1250_WFS,https://mapseries-tilesets.s3.amazonaws.com/air-photos-1250/{z}/{x}/{y}.png,20
55,airphotos1250layer_238225828,"Great Britain / Ireland - OS 1:1,250 Air Photos, 1944-1950 - correction",nls:catalog_air_photos_1250_WFS,https://mapseries-tilesets.s3.amazonaws.com/air-photos-1250-238225828/{z}/{x}/{y}.png,20
56,airphotos1250layer_238223269,"Great Britain / Ireland - OS 1:1,250 Air Photos, 1944-1950 - correction",nls:catalog_air_photos_1250_WFS,https://mapseries-tilesets.s3.amazonaws.com/air-photos-1250-238223269/{z}/{x}/{y}.png,20
57,airphotos1250layer_238418479,"Great Britain / Ireland - OS 1:1,250 Air Photos, 1944-1950 - correction",nls:catalog_air_photos_1250_WFS,https://mapseries-tilesets.s3.amazonaws.com/air-photos-1250-238418479/{z}/{x}/{y}.png,20
58,OS1900sGB_layer,"Great Britain / Ireland - OS 1:1 million-1:10K, 1900s",nls:WFS,,17
59,nls,"Great Britain / Ireland - OS 1:1m to 1:63K, 1920s-1940s",nls:one-inch-api,https://mapseries-tilesets.s3.amazonaws.com/api/nls/{z}/{x}/{y}.jpg,14
60,admin,"Great Britain / Ireland - OS 10 mile, Admin Areas, 1956",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/admin/{z}/{x}/{y}.png,12
61,coal_iron,"Great Britain / Ireland - OS 10 mile, Coal & Iron, 1945",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/coal_iron/{z}/{x}/{y}.png,12
62,farming,"Great Britain / Ireland - OS 10 mile, Farming, 1944",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/farming/{z}/{x}/{y}.png,12
63,general,"Great Britain / Ireland - OS 10 mile, General, 1955",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/general/{z}/{x}/{y}.png,12
64,geological,"Great Britain / Ireland - OS 10 mile, Geological, 1955",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/geological/{z}/{x}/{y}.png,12
65,iron_steel,"Great Britain / Ireland - OS 10 mile, Iron and Steel, 1945",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/iron_steel/{z}/{x}/{y}.png,12
66,land_classification,"Great Britain / Ireland - OS 10 mile, Land Classification, 1945",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/land_classification/{z}/{x}/{y}.png,12
67,land_utilisation,"Great Britain / Ireland - OS 10 mile, Land Utilisation, 1944",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/land_utilisation/{z}/{x}/{y}.png,12
68,limestone,"Great Britain / Ireland - OS 10 mile, Limestone, 1955",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/limestone/{z}/{x}/{y}.png,12
69,local_access,"Great Britain / Ireland - OS 10 mile, Local Accessibility, 1942",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/local_access/{z}/{x}/{-y}.png,12
70,physical,"Great Britain / Ireland - OS 10 mile, Physical, 1957",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/physical/{z}/{x}/{y}.png,12
